provider_identifier,hospital_name,address,city,state,zip_code,county,phone_number,payment_measure_name,payment_measure_identifier,payment_category_name,denominator,payment_actual,payment_estimate_lower,payment_estimate_higher,payment_footnote,value_of_care_name,value_of_care_identifier,value_category_name,value_footnote,start_date,end_date
140002,ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,ALTON,IL,62002,MADISON,6184637300,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,294,19807,19063,20603,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,NA,2013-04-01,2016-03-31
140002,ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,ALTON,IL,62002,MADISON,6184637300,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,537,16770,15909,17677,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,333 N MADISON,JOLIET,IL,60435,WILL,8157257133,Payment for heart attack patients,PAYM_30_AMI,Greater than the National Average Payment,479,25012,23531,26695,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and higher payment,NA,2013-07-01,2016-06-30
140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,333 N MADISON,JOLIET,IL,60435,WILL,8157257133,Payment for heart failure patients,PAYM_30_HF,Greater than the National Average Payment,"1,016",17803,17092,18555,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Better mortality and higher payment,NA,2013-07-01,2016-06-30
140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,333 N MADISON,JOLIET,IL,60435,WILL,8157257133,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,530,24658,23884,25484,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,NA,2013-04-01,2016-03-31
140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,333 N MADISON,JOLIET,IL,60435,WILL,8157257133,Payment for pneumonia patients,PAYM_30_PN,Greater than the National Average Payment,"1,055",19174,18465,19902,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and higher payment,NA,2013-07-01,2016-06-30
140015,BLESSING HOSPITAL,BROADWAY AT 11TH STREET,QUINCY,IL,62301,ADAMS,2172235811,Payment for heart attack patients,PAYM_30_AMI,Greater than the National Average Payment,307,25846,24048,27862,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and higher payment,NA,2013-07-01,2016-06-30
140015,BLESSING HOSPITAL,BROADWAY AT 11TH STREET,QUINCY,IL,62301,ADAMS,2172235811,Payment for heart failure patients,PAYM_30_HF,Less than the National Average Payment,617,15043,14250,15845,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Worse mortality and lower payment,NA,2013-07-01,2016-06-30
140015,BLESSING HOSPITAL,BROADWAY AT 11TH STREET,QUINCY,IL,62301,ADAMS,2172235811,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,209,21977,20923,23030,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,NA,2013-04-01,2016-03-31
140015,BLESSING HOSPITAL,BROADWAY AT 11TH STREET,QUINCY,IL,62301,ADAMS,2172235811,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,"1,104",14864,14329,15395,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,NA,2013-07-01,2016-06-30
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,7732576751,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,105,23660,21195,26314,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Worse mortality and average payment,NA,2013-07-01,2016-06-30
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,7732576751,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,110,15546,13997,17357,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,NA,2013-07-01,2016-06-30
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,7732576751,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Number of Cases Too Small, , , , ,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,7732576751,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,72,19298,16971,21483,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
140052,OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,ALTON,IL,62002,MADISON,6184652571,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,54,22484,19871,25609,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,NA,2013-07-01,2016-06-30
140052,OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,ALTON,IL,62002,MADISON,6184652571,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,131,16615,14979,18498,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,NA,2013-07-01,2016-06-30
140052,OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,ALTON,IL,62002,MADISON,6184652571,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,73,24173,22241,26257,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,NA,2013-04-01,2016-03-31
140052,OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,ALTON,IL,62002,MADISON,6184652571,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,255,16999,15702,18294,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
140118,METROSOUTH MEDICAL CENTER,12935 S GREGORY,BLUE ISLAND,IL,60406,COOK,7085972000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,133,24787,22409,27546,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,NA,2013-07-01,2016-06-30
140118,METROSOUTH MEDICAL CENTER,12935 S GREGORY,BLUE ISLAND,IL,60406,COOK,7085972000,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,317,15354,14280,16427,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,NA,2013-07-01,2016-06-30
140118,METROSOUTH MEDICAL CENTER,12935 S GREGORY,BLUE ISLAND,IL,60406,COOK,7085972000,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,164,25394,23976,26839,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,NA,2013-04-01,2016-03-31
140118,METROSOUTH MEDICAL CENTER,12935 S GREGORY,BLUE ISLAND,IL,60406,COOK,7085972000,Payment for pneumonia patients,PAYM_30_PN,Greater than the National Average Payment,242,18434,17100,19801,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and higher payment,NA,2013-07-01,2016-06-30
140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,HARVEY,IL,60426,COOK,7083332300,Payment for heart attack patients,PAYM_30_AMI,Less than the National Average Payment,241,21077,19536,22705,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and lower payment,NA,2013-07-01,2016-06-30
140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,HARVEY,IL,60426,COOK,7083332300,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,570,15979,15118,16862,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Better mortality and average payment,NA,2013-07-01,2016-06-30
140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,HARVEY,IL,60426,COOK,7083332300,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different than the National Average Payment,645,22420,21802,23071,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and average payment,NA,2013-04-01,2016-03-31
140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,HARVEY,IL,60426,COOK,7083332300,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,383,16616,15675,17582,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
140210,HARRISBURG MEDICAL CENTER,100 DOCTOR WARREN TUTTLE DR,HARRISBURG,IL,62946,SALINE,6182537671,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
140210,HARRISBURG MEDICAL CENTER,100 DOCTOR WARREN TUTTLE DR,HARRISBURG,IL,62946,SALINE,6182537671,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,126,15082,13569,16749,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,NA,2013-07-01,2016-06-30
140210,HARRISBURG MEDICAL CENTER,100 DOCTOR WARREN TUTTLE DR,HARRISBURG,IL,62946,SALINE,6182537671,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
140210,HARRISBURG MEDICAL CENTER,100 DOCTOR WARREN TUTTLE DR,HARRISBURG,IL,62946,SALINE,6182537671,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,326,14482,13525,15410,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,NA,2013-07-01,2016-06-30
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,COOK,8474375500,Payment for heart attack patients,PAYM_30_AMI,Greater than the National Average Payment,217,25509,23454,27816,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and higher payment,NA,2013-07-01,2016-06-30
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,COOK,8474375500,Payment for heart failure patients,PAYM_30_HF,Greater than the National Average Payment,745,17865,17001,18808,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Better mortality and higher payment,NA,2013-07-01,2016-06-30
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,COOK,8474375500,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater than the National Average Payment,776,26258,25547,27014,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and higher payment,NA,2013-04-01,2016-03-31
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,COOK,8474375500,Payment for pneumonia patients,PAYM_30_PN,Greater than the National Average Payment,879,18466,17673,19245,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Better mortality and higher payment,NA,2013-07-01,2016-06-30
140286,KISHWAUKEE COMMUNITY HOSPITAL,ONE KISH HOSPITAL DRIVE,DEKALB,IL,60115,DEKALB,8157561521,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,94,23320,21066,26080,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,NA,2013-07-01,2016-06-30
140286,KISHWAUKEE COMMUNITY HOSPITAL,ONE KISH HOSPITAL DRIVE,DEKALB,IL,60115,DEKALB,8157561521,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,239,16851,15557,18298,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,NA,2013-07-01,2016-06-30
140286,KISHWAUKEE COMMUNITY HOSPITAL,ONE KISH HOSPITAL DRIVE,DEKALB,IL,60115,DEKALB,8157561521,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,253,18630,17872,19392,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,NA,2013-04-01,2016-03-31
140286,KISHWAUKEE COMMUNITY HOSPITAL,ONE KISH HOSPITAL DRIVE,DEKALB,IL,60115,DEKALB,8157561521,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,472,16945,16048,17921,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
141302,MIDWEST MEDICAL CENTER,ONE MEDICAL CENTER DRIVE,GALENA,IL,61036,JO DAVIESS,8157771340,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
141302,MIDWEST MEDICAL CENTER,ONE MEDICAL CENTER DRIVE,GALENA,IL,61036,JO DAVIESS,8157771340,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
141302,MIDWEST MEDICAL CENTER,ONE MEDICAL CENTER DRIVE,GALENA,IL,61036,JO DAVIESS,8157771340,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
141302,MIDWEST MEDICAL CENTER,ONE MEDICAL CENTER DRIVE,GALENA,IL,61036,JO DAVIESS,8157771340,Payment for pneumonia patients,PAYM_30_PN,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
141306,COMMUNITY MEMORIAL HOSPITAL,400 CALDWELL,STAUNTON,IL,62088,MACOUPIN,6186352200,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
141306,COMMUNITY MEMORIAL HOSPITAL,400 CALDWELL,STAUNTON,IL,62088,MACOUPIN,6186352200,Payment for heart failure patients,PAYM_30_HF,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
141306,COMMUNITY MEMORIAL HOSPITAL,400 CALDWELL,STAUNTON,IL,62088,MACOUPIN,6186352200,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
141306,COMMUNITY MEMORIAL HOSPITAL,400 CALDWELL,STAUNTON,IL,62088,MACOUPIN,6186352200,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,46,15923,13547,18201,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
141328,HARDIN COUNTY GENERAL HOSPITAL,FERRELL ROAD,ROSICLARE,IL,62982,HARDIN,6182856634,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
141328,HARDIN COUNTY GENERAL HOSPITAL,FERRELL ROAD,ROSICLARE,IL,62982,HARDIN,6182856634,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,56,15207,13235,17479,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,NA,2013-07-01,2016-06-30
141328,HARDIN COUNTY GENERAL HOSPITAL,FERRELL ROAD,ROSICLARE,IL,62982,HARDIN,6182856634,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,5 - Results are not available for this reporting period.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
141328,HARDIN COUNTY GENERAL HOSPITAL,FERRELL ROAD,ROSICLARE,IL,62982,HARDIN,6182856634,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,88,15288,13446,17082,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
141346,FAYETTE COUNTY HOSPITAL,7TH AND TAYLOR,VANDALIA,IL,62471,FAYETTE,6182831231,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
141346,FAYETTE COUNTY HOSPITAL,7TH AND TAYLOR,VANDALIA,IL,62471,FAYETTE,6182831231,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,54,16415,14410,18984,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,NA,2013-07-01,2016-06-30
141346,FAYETTE COUNTY HOSPITAL,7TH AND TAYLOR,VANDALIA,IL,62471,FAYETTE,6182831231,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Number of Cases Too Small, , , , ,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
141346,FAYETTE COUNTY HOSPITAL,7TH AND TAYLOR,VANDALIA,IL,62471,FAYETTE,6182831231,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,146,16873,15281,18529,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
141349,SPARTA COMMUNITY HOSPITAL,818 E BROADWAY,SPARTA,IL,62286,RANDOLPH,6184432177,Payment for heart attack patients,PAYM_30_AMI,Number of Cases Too Small, , , , ,1 - The number of cases/patients is too few to report.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,13 - Results cannot be calculated for this reporting period.,2013-07-01,2016-06-30
141349,SPARTA COMMUNITY HOSPITAL,818 E BROADWAY,SPARTA,IL,62286,RANDOLPH,6184432177,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,34,16829,14437,19657,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,NA,2013-07-01,2016-06-30
141349,SPARTA COMMUNITY HOSPITAL,818 E BROADWAY,SPARTA,IL,62286,RANDOLPH,6184432177,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Number of Cases Too Small, , , , ,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,13 - Results cannot be calculated for this reporting period.,2013-04-01,2016-03-31
141349,SPARTA COMMUNITY HOSPITAL,818 E BROADWAY,SPARTA,IL,62286,RANDOLPH,6184432177,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,77,17209,15091,19307,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
143300,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,225 E CHICAGO BOX 57,CHICAGO,IL,60611,COOK,7738804000,Payment for heart attack patients,PAYM_30_AMI,Not Available, , , , ,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2013-07-01,2016-06-30
143300,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,225 E CHICAGO BOX 57,CHICAGO,IL,60611,COOK,7738804000,Payment for heart failure patients,PAYM_30_HF,Not Available, , , , ,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2013-07-01,2016-06-30
143300,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,225 E CHICAGO BOX 57,CHICAGO,IL,60611,COOK,7738804000,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2013-04-01,2016-03-31
143300,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,225 E CHICAGO BOX 57,CHICAGO,IL,60611,COOK,7738804000,Payment for pneumonia patients,PAYM_30_PN,Not Available, , , , ,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2013-07-01,2016-06-30
143301,LARABIDA CHILDRENS HOSPITAL I,E 65TH ST AT LAKE MICHIGAN,CHICAGO,IL,60649,COOK,7733636700,Payment for heart attack patients,PAYM_30_AMI,Not Available, , , , ,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2013-07-01,2016-06-30
143301,LARABIDA CHILDRENS HOSPITAL I,E 65TH ST AT LAKE MICHIGAN,CHICAGO,IL,60649,COOK,7733636700,Payment for heart failure patients,PAYM_30_HF,Not Available, , , , ,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2013-07-01,2016-06-30
143301,LARABIDA CHILDRENS HOSPITAL I,E 65TH ST AT LAKE MICHIGAN,CHICAGO,IL,60649,COOK,7733636700,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Not Available, , , , ,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2013-04-01,2016-03-31
143301,LARABIDA CHILDRENS HOSPITAL I,E 65TH ST AT LAKE MICHIGAN,CHICAGO,IL,60649,COOK,7733636700,Payment for pneumonia patients,PAYM_30_PN,Not Available, , , , ,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,2013-07-01,2016-06-30
150069,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,IN,47250,JEFFERSON,8128010105,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,31,24698,21448,28316,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,NA,2013-07-01,2016-06-30
150069,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,IN,47250,JEFFERSON,8128010105,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,186,16189,14863,17739,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Average mortality and average payment,NA,2013-07-01,2016-06-30
150069,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,IN,47250,JEFFERSON,8128010105,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,266,18380,17672,19116,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,NA,2013-04-01,2016-03-31
150069,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,IN,47250,JEFFERSON,8128010105,Payment for pneumonia patients,PAYM_30_PN,Less than the National Average Payment,335,15900,14878,16901,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and lower payment,NA,2013-07-01,2016-06-30
150089,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,2401 UNIVERSITY AVE,MUNCIE,IN,47303,DELAWARE,7657473111,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,408,23440,22053,24958,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,NA,2013-07-01,2016-06-30
150089,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,2401 UNIVERSITY AVE,MUNCIE,IN,47303,DELAWARE,7657473111,Payment for heart failure patients,PAYM_30_HF,No Different than the National Average Payment,662,15717,14906,16556,NA,Value of Care Heart Failure measure,MORT_PAYM_30_HF,Better mortality and average payment,NA,2013-07-01,2016-06-30
150089,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,2401 UNIVERSITY AVE,MUNCIE,IN,47303,DELAWARE,7657473111,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less than the National Average Payment,592,21576,20948,22194,NA,Value of Care hip/knee replacement measure,COMP_PAYM_90_HIP_KNEE,Average complications and lower payment,NA,2013-04-01,2016-03-31
150089,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,2401 UNIVERSITY AVE,MUNCIE,IN,47303,DELAWARE,7657473111,Payment for pneumonia patients,PAYM_30_PN,No Different than the National Average Payment,"1,094",17570,16926,18230,NA,Value of Care Pneumonia measure,MORT_PAYM_30_PN,Average mortality and average payment,NA,2013-07-01,2016-06-30
150128,COMMUNITY HOSPITAL SOUTH,1402 E COUNTY LINE RD S,INDIANAPOLIS,IN,46227,MARION,3178877000,Payment for heart attack patients,PAYM_30_AMI,No Different than the National Average Payment,160,22197,20285,24314,NA,Value of Care Heart Attack measure,MORT_PAYM_30_AMI,Average mortality and average payment,NA,2013-07-01,2016-06-30
